GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Internship Management System,ca.uwindsor.ims.dto,ApiResponse,50,0,0,0,17,0,10,0,10,0
Internship Management System,ca.uwindsor.ims.dto,CustomJasperReportDTO,78,0,0,0,32,0,21,0,21,0
Internship Management System,ca.uwindsor.ims.dto,PasswordChangeRequest,36,0,0,0,15,0,8,0,8,0
Internship Management System,ca.uwindsor.ims.dto,LoginRequest,26,0,0,0,11,0,6,0,6,0
Internship Management System,ca.uwindsor.ims.utility,NoticeGeneration,77,0,4,0,23,0,6,0,4,0
Internship Management System,ca.uwindsor.ims.utility,CommonUtility,10,0,0,0,4,0,2,0,2,0
Internship Management System,ca.uwindsor.ims.controller,ErrorController,10,7,0,0,4,2,2,2,2,2
Internship Management System,ca.uwindsor.ims.controller,MainController,1724,19,12,0,442,4,71,2,65,2
Internship Management System,ca.uwindsor.ims.service,JobServiceImpl,20,3,0,0,5,1,4,1,4,1
Internship Management System,ca.uwindsor.ims.service,CommonServiceImpl,5,3,0,0,1,1,1,1,1,1
Internship Management System,ca.uwindsor.ims.service,InternshipServiceImpl,10,3,0,0,3,1,2,1,2,1
Internship Management System,ca.uwindsor.ims.service,StudentServiceImpl,95,3,0,0,26,1,19,1,19,1
Internship Management System,ca.uwindsor.ims.service,RegLoginServiceImpl,17,3,0,0,3,1,3,1,3,1
Internship Management System,ca.uwindsor.ims.service,SkillServiceImpl,15,7,0,0,4,2,3,2,3,2
Internship Management System,ca.uwindsor.ims.service,CompanyServiceImpl,14,3,0,0,3,1,3,1,3,1
Internship Management System,ca.uwindsor.ims.service,ReportServiceImpl,16,3,0,0,4,1,4,1,4,1
Internship Management System,ca.uwindsor.ims.exception,DatabaseException,13,0,0,0,6,0,3,0,3,0
Internship Management System,ca.uwindsor.ims.Exception,ModelNotFoundException,4,0,0,0,2,0,1,0,1,0
Internship Management System,ca.uwindsor.ims.dao.impl,RegLoginDaoImpl,39,84,0,0,9,24,0,5,0,5
Internship Management System,ca.uwindsor.ims.dao.impl,CommonDaoImpl,110,10,2,0,27,3,4,2,3,2
Internship Management System,ca.uwindsor.ims.dao.impl,JobDaoImpl,201,13,4,0,64,3,8,2,6,2
Internship Management System,ca.uwindsor.ims.dao.impl,ReportDaoImpl,122,13,0,0,44,3,6,2,6,2
Internship Management System,ca.uwindsor.ims.dao.impl,InternshipDaoImpl,66,13,0,0,25,3,4,2,4,2
Internship Management System,ca.uwindsor.ims.dao.impl,SkillDaoImpl,105,59,2,0,27,15,5,4,4,4
Internship Management System,ca.uwindsor.ims.dao.impl,CompanyDaoImpl,163,13,14,0,54,3,12,2,5,2
Internship Management System,ca.uwindsor.ims.dao.impl,StudentDaoImpl,1272,13,118,0,359,3,80,2,21,2
Internship Management System,ca.uwindsor.ims.model,InternshipTypeBo,31,0,0,0,13,0,9,0,9,0
Internship Management System,ca.uwindsor.ims.model,ApprovalStudentBo,52,0,0,0,22,0,15,0,15,0
Internship Management System,ca.uwindsor.ims.model,LoginBo,47,37,0,0,20,14,9,6,9,6
Internship Management System,ca.uwindsor.ims.model,StudentCertificateBo,31,0,0,0,13,0,9,0,9,0
Internship Management System,ca.uwindsor.ims.model,StudentLoginBo,45,0,0,0,19,0,13,0,13,0
Internship Management System,ca.uwindsor.ims.model,DonationBO,129,0,0,0,55,0,37,0,37,0
Internship Management System,ca.uwindsor.ims.model,CommonDTO,51,0,0,0,17,0,9,0,9,0
Internship Management System,ca.uwindsor.ims.model,VbctLoginBO,171,0,0,0,73,0,49,0,49,0
Internship Management System,ca.uwindsor.ims.model,Login,17,0,0,0,7,0,5,0,5,0
Internship Management System,ca.uwindsor.ims.model,ReportBo,94,0,0,0,40,0,27,0,27,0
Internship Management System,ca.uwindsor.ims.model,Employee,66,0,0,0,28,0,19,0,19,0
Internship Management System,ca.uwindsor.ims.model,ReportlistBo,31,0,0,0,13,0,9,0,9,0
Internship Management System,ca.uwindsor.ims.model,StudentWorkBo,52,0,0,0,22,0,15,0,15,0
Internship Management System,ca.uwindsor.ims.model,JobBo,66,0,0,0,28,0,19,0,19,0
Internship Management System,ca.uwindsor.ims.model,JasperReportMstBO,87,0,0,0,37,0,25,0,25,0
Internship Management System,ca.uwindsor.ims.model,Student_Job_mapping,31,0,0,0,13,0,9,0,9,0
Internship Management System,ca.uwindsor.ims.model,StudentEducationBo,52,0,0,0,22,0,15,0,15,0
Internship Management System,ca.uwindsor.ims.model,CompanyBo,94,0,0,0,40,0,27,0,27,0
Internship Management System,ca.uwindsor.ims.model,StudentInternshipBo,52,0,0,0,22,0,15,0,15,0
Internship Management System,ca.uwindsor.ims.model,StudentGpaBo,143,0,0,0,61,0,41,0,41,0
Internship Management System,ca.uwindsor.ims.model,StudentInfoBo,104,0,0,0,44,0,29,0,29,0
Internship Management System,ca.uwindsor.ims.model,StudentSkillBo,15,50,0,0,6,19,1,11,1,11
Internship Management System,ca.uwindsor.ims.model,Certificate,17,0,0,0,7,0,5,0,5,0
Internship Management System,ca.uwindsor.ims.model,SkillBo,0,51,0,0,0,20,0,10,0,10
Internship Management System,ca.uwindsor.ims.model,BalanceSheetBO,76,0,0,0,32,0,21,0,21,0
Internship Management System,ca.uwindsor.ims.model,StudentJobSkillbo,45,0,0,0,19,0,13,0,13,0
Internship Management System,ca.uwindsor.ims.model,CountrySTDCodeMstBO,66,0,0,0,28,0,19,0,19,0
Internship Management System,ca.uwindsor.ims,InternshipManagementApplication,5,3,0,0,2,1,1,1,1,1
Internship Management System,ca.uwindsor.ims.controller.api,AuthController,44,3,6,0,12,1,6,1,3,1
